ProgramName,ProgramType,FundingType,LinkedID,SourceDB,SourceDBNM,payno,ContractNo,ContAmt,ContractorRequestedDate,ToAdvantageDate,entrydt,RequestedAmt,RequestedDate,ReceivedDate,ReviewCompletedDate,AcctReceivedDate,Status,ProcessDay
Financial Literacy,Other,CDBG_DEPT,5405,1,CCR,2,SG2019-142,"50,000.00",9/13/2019,11/1/2019,10/29/2019,"4,090.68",10/29/2019,10/29/2019,10/30/2019,10/30/2019,Complete,49
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,36,CT8006 RH2019*004,"200,000.00",12/6/2021,12/7/2021,12/6/2021,"32,110.00",12/6/2021,12/6/2021,12/7/2021,12/7/2021,Complete,1
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,33,CT8006 RH2019*003,"50,000.00",12/6/2021,12/7/2021,12/6/2021,"4,435.00",12/6/2021,12/6/2021,12/7/2021,12/7/2021,Complete,1
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,34,CT8006 RH2019*012,"40,000.00",12/6/2021,12/7/2021,12/6/2021,"1,800.00",12/6/2021,12/6/2021,12/7/2021,12/7/2021,Complete,1
Furnace and Hot Water Tank Replacement Program,Furnace replacement,CDBG-Rehab,178,3,Other_Dept,11,RH2020-075,"270,000.00",12/1/2021,12/2/2021,12/1/2021,"8,419.00",12/1/2021,12/1/2021,12/1/2021,12/2/2021,Complete,1
Gutter Assistance Program,Gutter Cleaning,CDBG_DEPT,114,3,Other_Dept,7,14044064,"80,000.00",4/21/2020,4/23/2020,4/21/2020,"2,400.00",4/21/2020,4/21/2020,4/22/2020,4/22/2020,Complete,2
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,23,CT8006 RH2019*006,"250,000.00",4/15/2020,4/17/2020,4/15/2020,"13,010.00",4/15/2020,4/15/2020,4/16/2020,4/17/2020,Complete,2
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,36,CT8006 RH2019*006,"250,000.00",12/14/2020,12/16/2020,12/14/2020,"20,255.00",12/14/2020,12/14/2020,12/15/2020,12/16/2020,Complete,2
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,32,CT8006 RH2019*005,"60,000.00",12/14/2020,12/16/2020,12/14/2020,"10,200.00",12/14/2020,12/14/2020,12/15/2020,12/16/2020,Complete,2
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,17,CT8006 RH2019*014,"122,829.65",4/21/2020,4/23/2020,4/21/2020,"3,218.74",4/21/2020,4/21/2020,4/22/2020,4/22/2020,Complete,2
Furnace and Hot Water Tank Replacement,Furnace replacement,Program_Income,134,3,Other_Dept,7,RH2019-092,"270,000.00",4/21/2020,4/23/2020,4/21/2020,"3,610.00",4/21/2020,4/21/2020,4/22/2020,4/22/2020,Complete,2
Furnace and Hot Water Tank Replacement Program,Furnace replacement,CDBG-Rehab,178,3,Other_Dept,8,RH2020-075,"270,000.00",9/13/2021,9/15/2021,9/13/2021,"8,916.00",9/13/2021,9/14/2021,9/14/2021,9/15/2021,Complete,2
Child Care Services,Social Service,CDBG_DEPT,5690,1,CCR,1,SG2021-282,"5,000.00",11/16/2021,11/18/2021,11/16/2021,410.48,11/16/2021,11/17/2021,11/17/2021,11/17/2021,Complete,2
CDC Activity Grant,CDC,CDBG_DEPT,5765,1,CCR,1,SG2021-0400,"1,636,061.00",12/7/2021,12/9/2021,12/7/2021,"164,552.00",12/8/2021,12/8/2021,12/8/2021,12/9/2021,Complete,2
CDC Activity Grant,CDC,CDBG_DEPT,5765,1,CCR,2,SG2021-0400,"1,636,061.00",12/7/2021,12/9/2021,12/7/2021,"127,081.00",12/8/2021,12/8/2021,12/8/2021,12/9/2021,Complete,2
